startTime,settlementDate,settlementPeriod,GAS,OTHER
2023-03-27 12:30:00,2023-03-27,28,3976.703,269.18
2023-03-27 13:00:00,2023-03-27,29,4987.198,487.435
2023-03-27 13:30:00,2023-03-27,30,7021.142,800.518
2023-03-27 14:00:00,2023-03-27,31,9056.508,785.221
2023-03-27 14:30:00,2023-03-27,32,7728.809,566.504
2023-03-27 15:00:00,2023-03-27,33,4900.27,557.479
2023-03-27 15:30:00,2023-03-27,34,4022.717,526.744
2023-03-27 16:00:00,2023-03-27,35,3223.583,420.072
2023-03-27 16:30:00,2023-03-27,36,2554.537,337.889
2023-03-27 17:00:00,2023-03-27,37,1790.808,176.8
2023-03-27 17:30:00,2023-03-27,38,1574.25,131.092
2023-03-27 18:00:00,2023-03-27,39,1846.683,281.328
2023-03-27 18:30:00,2023-03-27,40,2417.917,364.601
2023-03-27 19:00:00,2023-03-27,41,2307.133,522.996
2023-03-27 19:30:00,2023-03-27,42,1525.083,160.517
2023-03-27 20:00:00,2023-03-27,43,1512.667,144.308
2023-03-27 20:30:00,2023-03-27,44,1982.09,88.475
2023-03-27 21:00:00,2023-03-27,45,2038.798,4.475
2023-03-27 21:30:00,2023-03-27,46,2226.194,72.7
2023-03-27 22:00:00,2023-03-27,47,4319.461,475.092
2023-03-27 22:30:00,2023-03-27,48,3911.149,-85.6
2023-03-27 23:00:00,2023-03-28,1,3537.151,-161.417
2023-03-27 23:30:00,2023-03-28,2,3995.126,225.407
2023-03-28 00:00:00,2023-03-28,3,4631.178,377.06
2023-03-28 00:30:00,2023-03-28,4,2994.793,419.7
2023-03-28 01:00:00,2023-03-28,5,3276.186,190.558
2023-03-28 01:30:00,2023-03-28,6,2926.275,-6.875
2023-03-28 02:00:00,2023-03-28,7,3395.698,0.0
2023-03-28 02:30:00,2023-03-28,8,2961.762,139.74
2023-03-28 03:00:00,2023-03-28,9,3032.613,195.01
2023-03-28 03:30:00,2023-03-28,10,2672.205,430.72
2023-03-28 04:00:00,2023-03-28,11,3987.379,-87.179
2023-03-28 04:30:00,2023-03-28,12,4448.349,103.633
2023-03-28 05:00:00,2023-03-28,13,3831.618,204.967
